conversationId,timestamp,actor,actorLocale,originalText,targetLocale,translation,englishTranslation
67a4d68d911d0d9e63ec3813,2025-02-06T15:35:23.344Z,agent,en-US,"Thank you for calling Red Roof Inn Guest Relations, how may I assist you?",es-ES,"Gracias por llamar a Relaciones con los Huéspedes de Red Roof Inn, ¿en qué puedo ayudarle?","Thank you for calling Red Roof Inn Guest Relations, how may I assist you?"
67a4d68d911d0d9e63ec3813,2025-02-06T15:35:28.493Z,agent,en-US,My name is Jalisia.,es-ES,Me llamo Jalisia.,My name is Jalisia.
67a4d68d911d0d9e63ec3813,2025-02-06T15:35:36.999Z,customer,es-ES,Buenos días.,en-US,Good morning.,Good morning.
67a4d68d911d0d9e63ec3813,2025-02-06T15:35:45.596Z,agent,en-US,How can I assist you today?,es-ES,¿En qué puedo ayudarle hoy?,How can I assist you today?
67a4d68d911d0d9e63ec3813,2025-02-06T15:35:45.656Z,customer,es-ES,Hello.,en-US,Hello.,Hello.
67a4d68d911d0d9e63ec3813,2025-02-06T15:35:51.275Z,customer,es-ES,Representante.,en-US,Representative.,Representative.
67a4d68d911d0d9e63ec3813,2025-02-06T15:35:59.414Z,agent,en-US,How may I assist you today?,es-ES,¿En qué puedo ayudarle hoy?,How may I assist you today?
67a4d68d911d0d9e63ec3813,2025-02-06T15:36:05.000Z,customer,es-ES,Representante.,en-US,Representative.,Representative.
67a4d68d911d0d9e63ec3813,2025-02-06T15:36:29.937Z,agent,en-US,You are currently in touch with Guest Relations,es-ES,Actualmente está en contacto con Relaciones con los Huéspedes,You are currently in touch with Guest Relations
67a13f5667ba2fe6c0f05636,2025-02-03T22:12:59.291Z,agent,en-US,"Thank you for calling Red Roof Inn Guest Relations, how may I assist you?",es-ES,"Gracias por llamar a Relaciones con los Huéspedes de Red Roof Inn, ¿en qué puedo ayudarle?","Thank you for calling Red Roof Inn Guest Relations, how may I assist you?"
67a13f5667ba2fe6c0f05636,2025-02-03T22:13:21.780Z,agent,en-US,For sure my name is Portia. How may I assist?,es-ES,"Por supuesto, me llamo Portia. ¿En qué puedo ayudarle?",For sure my name is Portia. How may I assist?
67a13f5667ba2fe6c0f05636,2025-02-03T22:13:30.537Z,customer,es-ES,"Quiero hablar con un representante, por favor.",en-US,"I would like to speak to a representative, please.","I would like to speak to a representative, please."
67a13f5667ba2fe6c0f05636,2025-02-03T22:13:44.141Z,agent,en-US,You are speaking with a representative. How may I assist?,es-ES,Está hablando con un representante. ¿En qué puedo ayudarle?,You are speaking with a representative. How may I assist?
67a13f5667ba2fe6c0f05636,2025-02-03T22:13:55.229Z,customer,es-ES,"No quiero hablar, quiero hablar con una persona en persona, en persona, no por la máquina, en persona.",en-US,"I don't want to talk, I want to talk to a person in person, in person, not by machine, in person.","I don't want to talk, I want to talk to a person in person, in person, not by machine, in person."
67a13f5667ba2fe6c0f05636,2025-02-03T22:14:09.643Z,agent,en-US,contact 800-554-4555,es-ES,contacto 800-554-4555,contact 800-554-4555
67a13f5667ba2fe6c0f05636,2025-02-03T22:14:41.547Z,agent,en-US,"Hello, are you still there?",es-ES,"Hola, ¿sigue ahí?","Hello, are you still there?"
67a13f5667ba2fe6c0f05636,2025-02-03T22:14:48.630Z,customer,es-ES,"Sí, quiero hablar con un representante.",en-US,"Yes, I want to speak to a representative.","Yes, I want to speak to a representative."
67a13f5667ba2fe6c0f05636,2025-02-03T22:15:08.621Z,agent,en-US,"As previously advised, you are speaking with a representative. How may I assist you today? My name is Portia.",es-ES,"Como ya le hemos informado, está hablando con un representante. ¿En qué puedo ayudarle hoy? Me llamo Portia.","As previously advised, you are speaking with a representative. How may I assist you today? My name is Portia."
67a13f5667ba2fe6c0f05636,2025-02-03T22:15:26.227Z,customer,es-ES,"No, sí, no quiero hablar con un representante en persona, en persona, no en la máquina, en persona, en persona.",en-US,"No, yes, I don't want to talk to a representative in person, in person, not on the machine, in person, in person.","No, yes, I don't want to talk to a representative in person, in person, not on the machine, in person, in person."
67a13f5667ba2fe6c0f05636,2025-02-03T22:15:40.454Z,agent,en-US,"In that case, please contact us at 800-554-4555.",es-ES,"En ese caso, póngase en contacto con nosotros llamando al 800-554-4555.","In that case, please contact us at 800-554-4555."
67a0dfa0436d79c24793c4de,2025-02-03T15:24:34.526Z,agent,en-US,"Thank you for calling Red Roof Inn Guest Relations, how may I assist you?",es-ES,"Gracias por llamar a Relaciones con los Huéspedes de Red Roof Inn, ¿en qué puedo ayudarle?","Thank you for calling Red Roof Inn Guest Relations, how may I assist you?"
67a0dfa0436d79c24793c4de,2025-02-03T15:24:42.235Z,agent,en-US,My name is Jalisia.,es-ES,Me llamo Jalisia.,My name is Jalisia.
