userRequest,actionReferenceIds,agentResponse,category,conversationUrl,createdAt,externalUrl,handleTime,humanAgents,humanAgentsWithInserts,incompleteActionReferenceIds,insertCount,integration,mavenAppId,metadata,quality,qualityScoreReason,referenceId,resolutionStatus,responseLength,responseType,sentiment,tags,thumbsDownCount,thumbsUpCount,timeToFirstResponse,userIdentifiers,userNames
User reports V53 error on all TiVo Boxes.,,"Agent provided troubleshooting steps for the V53 error, including checking signal strength, verifying connections, restarting devices, checking for splitters, trying different inputs, and consulting the cable provider.",TiVo Error Codes,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGkBYNHKYZ5TQD6j8ecnXXQYdOwlQ9VCQ4JDTQNIAvgadpvnf6FLUDky0rGP8XRq18qx3msBlkFY,2025-02-04T17:12:31.695328Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,u1lAqVCgB0bsdR67Ub0Nn,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
User wants to switch from one TiVo device to another.,,Agent asks for clarification on which TiVo devices the user is transferring from and to.,Device Setup,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGk4PJLfHVeIYbfsYC7LPboNoXwVbl8ipacSB1wAdVWhBBsQnxgfMDniObblbtPUYzfmgKDy0SKC,2025-02-04T17:10:34.162468Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,NEEDS_USER_CLARIFICATION,twgZ_rXO008aRESDBtCbA,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User lost their TiVo remote and inquired about finding it.,,"Agent provided information on using the Remote Finder feature for compatible devices and mentioned that the TiVo Stream 4K does not have this feature, advising the user to purchase a replacement remote.",Remote Control Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGcbFrvA7TOo7aQgW5rpDoy3HsxvVLxD9pBusOZuBgmuqEQbuCUwPk4Rl6XecWAV4dSXAcCf92PM,2025-02-04T17:07:37.253881Z,,1m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,E_JwcDsrSVCBeX2k7UUCh,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
User asked how to set up TiVo Edge and how to transfer recordings to another device.,escalate-to-agent,"Agent provided detailed setup instructions for TiVo Edge for both antenna and cable connections, and explained how to transfer recordings between TiVo DVRs.",Tivo Setup,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGepforDgLMUZQYKTc1GR3Xynn72synhBYcAYx7LGCWWpKRepRFBeQdr8YcGzyhpr4gxM0JYVh00,2025-02-04T17:05:08.343720Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,NEEDS_USER_CLARIFICATION,Srg9i4bIdQfaO3rH0vmHP,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
The user reported being cut off from a previous chat with a live representative.,escalate-to-agent,The agent acknowledged the disconnection and offered to reconnect the user to support.,Live Chat Support Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGcH124k5AJTSGYJd5Q4D7YQ9hm8EdpAXcyaK0Pci9ElBnIqg9U4gPtsdQYAYZ0JPMswMtbHUMK4,2025-02-04T17:04:45.075340Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,CPseuq3ugifnExBE3U3Wj,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
The user requested to check the service plan and then asked for live support.,escalate-to-agent,The agent asked for clarification on the specific TiVo product to provide accurate service plan information and offered a connection to live support.,Service Inquiry,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGex81TLPfBpFKdVFBinBOutGL2hthqxwWfywO8gNs4k1dKLueqCoXwlAzDcan8I0HAGQC8yR3lU,2025-02-04T16:51:17.164356Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,NEEDS_USER_CLARIFICATION,T4uRerD68aWA9nzprlPBU,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
Requested to cancel TiVo service.,,Provided steps to cancel TiVo service.,Service Cancellation Inquiry,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGfcjNALa6AGZ4ouyko0kDL2xX5Il6JiXrtrFJxRvrf8RXz5MRlRVtbnDqCmFKRUiCAaJCvnPB2a,2025-02-04T16:50:02.590754Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,XodwZYJxtxWMyblR3bHnb,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
Inquired about service plans.,,Provided an overview of various TiVo service plans based on different devices.,Service Inquiry,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGezMC8eUDRsVIjGP3uzFO607HZNHPzoDgDWN7sjrPkkErhCCXeQjNIwlwQk4FYmoC2ZGRZlPHVc,2025-02-04T16:49:08.324260Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,Tnx1J9ZFZPcgiyGNMFecW,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User reported inability to get HDMI connection and requested assistance.,escalate-to-agent,"Provided troubleshooting steps for HDMI issues, including checking connections, HDCP status, rebooting devices, and bypassing third-party equipment. Suggested further steps after the customer replaced the HDMI cable.",General Inquiry,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGhXADjBPzBPHOniHPRsWNHN8Ugd8NCEA447jj7MAolYbcPa7iHHYKL56tTk0hn5dAKYJxUpfWZI,2025-02-04T16:40:45.733432Z,,3m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,dzE26-KEzSwPkmnsErIPX,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
The user asked how to determine if their TiVo Premiere Series 4 has a lifetime subscription.,,The agent provided steps to check if the TiVo Premiere Series 4 has a lifetime subscription through the TiVo interface and online account.,Subscription Inquiry,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGcRjVDoVqLu1sVJMUlxnIyKOiOlF2P5KfK8HKAlbrAdBH3CO4qWE7qs9f83NxvIPDNPOcS2AKQ8,2025-02-04T16:31:40.704333Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,DgmQ1ScdAmovvlxn5-CHM,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
